Location of Private Lateral,Zipcode,"Date of WW
Release",lat,long
"931 Enclave Lake Dr, Houston, Texas, 77077",77077,2021-04-23,29.7708473,-95.6261983
"772 Dillard St, Houston, Texas, 77091",77091,2021-04-23,29.8623943,-95.4159430999999
"7214 Laura Koppe Rd, Houston, Texas, 77028",77028,2021-04-23,29.8401527,-95.2985097
"2100 Hamilton St, Houston, Texas, 77003",77003,2021-04-23,29.7436676,-95.364289
"12103 Coulson Cir, Houston, Texas, 77015",77015,2021-04-24,29.764917,-95.2195107
"11254 Spottswood Dr, Houston, Texas, 77016",77016,2021-04-24,29.88278,-95.289772
"12815 Leader St, Houston, Texas, 77072",77072,2021-04-24,29.7009577,-95.6084467
"3511 Kingston Vale Dr, Houston, Texas, 77082",77082,2021-04-25,29.7192131,-95.6232453
"7721 Sherman St, Houston, Texas, 77012",77012,2021-04-25,29.7331809,-95.2863716
"2420 McIlhenny St, Houston, Texas, 77004",77004,2021-04-25,29.7385689,-95.3607019
"633 W 21st St, Houston, Texas, 77008",77008,2021-04-25,29.8050618,-95.4093154999999
"4119 Childress St, Houston, Texas, 77005",77005,2021-04-26,29.726521,-95.444142
"7622 W Knoll St, Houston, Texas, 77028",77028,2021-04-25,29.8347639,-95.2900986
"126 W Rocky Creek Rd, Houston, Texas, 77076",77076,2021-04-25,29.8609216,-95.3992205
"437 Woolworth St, Houston, Texas, 77020",77020,2021-04-26,29.7805979,-95.308218
"750 Marcella St, Houston, Texas, 77091",77091,2021-04-26,29.8455772,-95.4142253999999
"3119 Rosalie St, Houston, Texas, 77004",77004,2021-04-26,29.7316698,-95.3567352
"5905 Monsanta St, Houston, Texas, 77087",77087,2021-04-26,29.6798398,-95.2965088999999
"12811 Cape Hyannis Dr, Houston, Texas, 77048",77048,2021-04-26,29.623639,-95.3529255
"15318 Blueridge Rd, Missouri City, Texas, 77489",77489,2021-04-26,29.6023913,-95.4931227
"206 Eichwurzel Ln, Houston, Texas, 77009",77009,2021-04-26,29.8106506,-95.3712608
"1216 Northwood St, Houston, Texas, 77009",77009,2021-04-26,29.8030143,-95.3778624999999
"114 Heights Blvd, Houston, Texas, 77007",77007,2021-04-26,29.7710362,-95.396716
"5102 Ripplebrook Dr, Houston, Texas, 77045",77045,2021-04-27,29.6258530999999,-95.4572432
"7429 Tremper St, Houston, Texas, 77020",77020,2021-04-27,29.7748014,-95.2932831999999
"910 Alexander St, Houston, Texas, 77008",77008,2021-04-27,29.7872901,-95.4074874
"8334 S Meadow Bird Cir, Missouri City, Texas, 77489",77489,2021-04-26,29.5727499,-95.5146378
"1029 Cimarron St, Houston, Texas, 77015",77015,2021-04-27,29.775693,-95.1897511999999
"3112 Stonewall St, Houston, Texas, 77020",77020,2021-04-27,29.7731364,-95.3381726
"4318 Woodmont Dr, Houston, Texas, 77045",77045,2021-04-28,29.6360851,-95.4438349999999
"16402 Quail Briar Dr, Missouri City, Texas, 77489",77489,2021-04-28,29.5884847,-95.5161227
"6919 Avenue C, Houston, Texas, 77011",77011,2021-04-28,29.737421,-95.3023949999999
"10850 Fairland Dr, Houston, Texas, 77051",77051,2021-04-28,29.640047,-95.3770041
"8411 Irvington Blvd, Houston, Texas, 77022",77022,2021-04-28,29.8354644,-95.3628787
"6318 Firnat St, Houston, Texas, 77016",77016,2021-04-28,29.8447545,-95.3062978
"807 E Witcher Ln, Houston, Texas, 77076",77076,2021-04-28,29.8504788,-95.3878151
"305 N Ennis St, Houston, Texas, 77003",77003,2021-04-28,29.7569262,-95.3398818
"10943 Bradford Way Dr, Houston, Texas, 77075",77075,2021-04-28,29.6064146,-95.2539836
"9333 Stella Link Rd, Houston, Texas, 77025",77025,2021-04-29,29.6805473,-95.4392094
"7535 Bywood St, Houston, Texas, 77028",77028,2021-04-29,29.8377494,-95.2920992
