﻿Site ID,Description,Source Address,Latitude,Longitude,Zipcode,
460,Brays Bayou @ Gessner Road,43053,29.672371,-95.527994,77031,
465,Brays Bayou @ Beltway 8,43054,29.695066,-95.556599,77072,
470,Brays Bayou @ Belle Park Drive,43055,29.709284,-95.5825,77072,
475,Brays Bayou @ Bellaire Boulevard,43056,29.70391,-95.566081,77072,
480,Keegans Bayou @ Roark Road,43057,29.656136,-95.562488,77031,
485,Brays Bayou @ SH 6,43058,29.715071,-95.643933,77082,
490,Keegans Bayou @ Keegan Road,43059,29.665721,-95.594968,77477,
495,Keegans Bayou @ Rocky Valley,43060,29.678422,-95.649195,77083,
510,Harris County Flood Control @ Brookhollow,43061,29.806225,-95.452383,77092,
520,White Oak Bayou @ Heights Boulevard,43062,29.774876,-95.397145,77007,
530,White Oak Bayou @ Ella Boulevard,43063,29.803438,-95.429368,77008,
535,White Oak Bayou @ Pinemont Drive,43064,29.840915,-95.458339,77092,
540,White Oak Bayou @ Alabonson Road,43065,29.870424,-95.480366,77088,
545,White Oak Bayou @ Fairbanks North Houston Road,43066,29.877297,-95.524522,77040,
550,White Oak Bayou @ Lakeview Drive,43067,29.887358,-95.556185,77040,
555,White Oak Bayou @ Jones Road,43068,29.917687,-95.584556,77065,
560,Little White Oak Bayou @ Trimble Street,43069,29.792956,-95.367817,77009,
570,Little White Oak Bayou @ Tidwell Road,43070,29.845139,-95.399729,77022,
575,White Oak Bayou @ Tidwell Road,43071,29.846237,-95.460193,77091,
580,Brickhouse Gully @ Costa Rica Road,43072,29.827664,-95.469019,77092,
582,Brickhouse Gully @ Hollister ,43190,29.823918,-95.509149,77080,
585,Vogel Creek @ Victory Drive,43073,29.868133,-95.4692,77088,
590,Cole Creek @ Deihl Road,43074,29.850893,-95.487669,77092,
595,Vogel Creek @ Gulf Bank Road,43075,29.883128,-95.467416,77088,
605,Taylor Lake @ Port Road,43425,29.603818,-95.039618,77586,
610,Taylor's Bayou @ Shoreacres Boulevard,43076,29.619923,-95.021669,77571,
620,Little Cedar Bayou @ 8th Street,43077,29.650057,-95.027295,77571,
640,Lateral @ Sens Road,43078,29.6832709,-95.046794,77571,
650,Patricks Bayou @ East 8th Street,43426,29.7051518,-95.1175924,77536,
660,Boggy Bayou @ San Augustine Street,43427,29.690669,-95.145048,77503,
710,San Jacinto River @ Rio Villa,43079,29.829041,-95.077694,77049,
720,San Jacinto River @ US 90,43080,29.876372,-95.093111,77532,
740,Lake Houston @ FM 1960,43179,30.016032,-95.121808,77336,
750,Lake Houston Dam Spillway,43081,29.916112,-95.141641,77044,
755,San Jacinto River @ Kingwood Country Club,43082,30.028132,-95.19654,77339,
760,San Jacinto River @ US 59,43083,30.026775,-95.257999,77339,
765,San Jacinto @ SH 99,43175,30.141217,-95.338315,77365,
770,San Jacinto @ 242,43197,30.210437,-95.397854,77385,
780,Caney Creek @ FM 2090,43176,30.259784,-95.302114,77306,
785,Peach Creek @ FM 2090,43177,30.232609,-95.168007,77372,
790,East Fork San Jacinto @ FM 1485,43084,30.145153,-95.125124,77357,
795,East Fork San Jacinto @ FM 2090,43178,30.214124,-95.10292,77372,
